"","Country","Output","Industry","Top","Input","Correlation","Oppotunities","nombre clients corr","Rapport","tests input"
"157","France","Anti-TG","Gov","base","TSH","0.620255151795513","86","23","0.0468",933026
"158","France","Anti-TG","Gov","top1","FT3","0.976753247502912","70","22","0.2338",125178
"159","France","Anti-TG","Gov","top2","AMYL","0.926798911819084","39","12","0.528",76453
"160","France","Anti-TG","Gov","top3","B2MG","0.920714092573144","42","18","0.2078",101444
"161","France","Anti-TG","Gov","top4","IgG","0.908577526918512","63","18","0.2152",110979
"162","France","Anti-TG","Gov","top5","IgA","0.873186907564409","63","18","0.2505",104551
"163","France","Anti-TPO","Gov","base","TSH","0.757511163320742","82","27","0.0582",933026
"164","France","Anti-TPO","Gov","top1","FT3","0.963652470648774","66","26","0.2975",125178
"165","France","Anti-TPO","Gov","top2","IgG","0.900564068320332","60","21","0.2896",110979
"166","France","Anti-TPO","Gov","top3","HBA1C","0.889347782736229","35","7","0.1411",102075
"167","France","Anti-TPO","Gov","top4","B2MG","0.872469868532906","39","21","0.269",101444
"168","France","Anti-TPO","Gov","top5","CA 19-9","0.87134016152346","57","25","0.9029",40126
"169","France","Anti-TSHR","Gov","base","TSH","0.813900335671065","100","9","0.0333",933026
"170","France","Anti-TSHR","Gov","top1","FERR","0.964462798790193","107","8","0.0489",718485
"171","France","Anti-TSHR","Gov","top2","CA 19-9","0.933923967156366","74","8","0.6261",40126
"172","France","Anti-TSHR","Gov","top3","PTH","0.921394100096378","56","9","0.1103",114935
"173","France","Anti-TSHR","Gov","top4","FOLATE","0.918548469123116","78","8","0.0622",337971
"174","France","Anti-TSHR","Gov","top5","B12","0.907458313342661","82","8","0.0595",337674
"175","France","Beta-CrossLaps","Gov","base",NA,NA,NA,NA,NA,NA
"176","France","Beta-CrossLaps","Gov","top1","Prealb","0.476115899560632","83","7","0.0342",330556
"177","France","Beta-CrossLaps","Gov","top2","BIL-D","0.415649298457588","123","8","0.0096",1151731
"178","France","Beta-CrossLaps","Gov","top3","LH","0.413085544115983","55","7","0.0908",70635
"179","France","Beta-CrossLaps","Gov","top4","Ca","0.371162207542631","123","8","0.003",4237850
"180","France","Beta-CrossLaps","Gov","top5","PHOS","0.313925687532892","120","8","0.0049",2072532
"181","France","C-Peptide","Gov","base","CORT","0.679778316978144","65","25","0.309",98902
"182","France","C-Peptide","Gov","top1","Prealb","0.896500121719323","73","17","0.0736",330556
"183","France","C-Peptide","Gov","top2","IgG","0.893248012557216","65","16","0.1851",110979
"184","France","C-Peptide","Gov","top3","Anti-HBc","0.889032137377038","65","15","0.0839",233871
"185","France","C-Peptide","Gov","top4","HBsAg","0.887898630821625","65","15","0.0776",255751
"186","France","C-Peptide","Gov","top5","Anti-HBs","0.875028129211451","66","15","0.0793",250597
"187","France","Cyclosporine","Gov","base","PTH","0.876922141723364","62","3","0.0993",114935
"188","France","Cyclosporine","Gov","top1",NA,NA,NA,NA,NA,NA
"189","France","Cyclosporine","Gov","top2",NA,NA,NA,NA,NA,NA
"190","France","Cyclosporine","Gov","top3",NA,NA,NA,NA,NA,NA
"191","France","Cyclosporine","Gov","top4",NA,NA,NA,NA,NA,NA
"192","France","Cyclosporine","Gov","top5",NA,NA,NA,NA,NA,NA
"193","France","Cyfra 21-1","Gov","base","CA 15-3","0.624795924265975","54","20","0.391",21392
"194","France","Cyfra 21-1","Gov","top1","PSA","0.735218533263023","69","21","0.1101",95609
"195","France","Cyfra 21-1","Gov","top2","IgA","0.68136097768233","69","12","0.0817",104551
"196","France","Cyfra 21-1","Gov","top3","IgM","0.679478816244595","69","12","0.0883",99553
"197","France","Cyfra 21-1","Gov","top4","FERR","0.671518313550848","96","19","0.0139",718485
"198","France","Cyfra 21-1","Gov","top5","IgG","0.667593010297375","69","12","0.0663",110979
"199","France","FPSA","Gov","base","PSA","0.679520833943201","30","60","0.2552",95609
"200","France","FPSA","Gov","top1","PSA","0.679520833943201","30","60","0.2552",95609
